iter	F1	Logloss
0	0.8183722705	0.6746608082
1	0.8246413979	0.6572766373
2	0.8286256386	0.6340267953
3	0.8417804853	0.6153841118
4	0.8400881689	0.6014904693
5	0.8370567127	0.5879797024
6	0.8356512075	0.5752538399
7	0.8331302543	0.5649634749
8	0.8342046675	0.5535130805
9	0.8376133799	0.5416908658
10	0.8390329526	0.530432585
11	0.8421034158	0.5132500467
12	0.845065717	0.5021154178
13	0.8430291539	0.4934416089
14	0.846389586	0.4819327366
15	0.8474788422	0.4745898419
16	0.8473315518	0.4662032264
17	0.8472822989	0.4555828586
18	0.8476498373	0.4454127915
19	0.8463398521	0.4367606569
20	0.8502802868	0.4289032671
21	0.8507409697	0.4210626061
22	0.8497668602	0.4170730695
23	0.8501844137	0.4133444442
24	0.8517598778	0.4077802939
25	0.8531051339	0.4006405015
26	0.8538449715	0.397106667
27	0.8521797879	0.3916141351
28	0.852874201	0.3874607281
29	0.8544961584	0.3829309969
30	0.8551483394	0.3794239269
31	0.8561326551	0.3753488331
32	0.8573398882	0.3696110142
33	0.8595106269	0.3662367958
34	0.8592970185	0.3620395055
35	0.8599548717	0.3607299907
36	0.8593108216	0.358545869
37	0.8604253839	0.3547503305
38	0.8599301601	0.3511709492
39	0.8640107152	0.3485106286
40	0.8653474007	0.3454809524
41	0.8659500901	0.3435141108
42	0.8672223516	0.341466283
43	0.8669654859	0.3377628507
44	0.8668294357	0.3348415633
45	0.8667002274	0.3333530852
46	0.8707987219	0.3306424445
47	0.8712140172	0.328160482
48	0.8710231048	0.3262746604
49	0.8736264464	0.3248038948
50	0.8738851541	0.32251139
51	0.873980987	0.3212930339
52	0.8765157856	0.3199248594
