iter	Passed	Remaining
0	17	17846
1	33	16713
2	52	17542
3	71	17852
4	88	17678
5	105	17526
6	123	17503
7	143	17763
8	160	17681
9	178	17650
10	194	17527
11	213	17547
12	230	17466
13	249	17565
14	267	17568
15	284	17493
16	302	17504
17	323	17637
18	345	17837
19	372	18238
20	396	18489
21	418	18589
22	441	18738
23	459	18680
24	481	18792
25	499	18719
26	519	18706
27	539	18719
28	559	18738
29	575	18606
30	591	18504
31	609	18443
32	627	18387
33	646	18374
34	664	18323
35	681	18240
36	698	18186
37	715	18101
38	732	18046
39	748	17975
40	765	17894
41	783	17861
42	800	17817
43	817	17772
44	834	17714
45	851	17668
46	867	17599
47	884	17545
48	900	17483
49	918	17447
50	934	17386
51	951	17351
52	967	17292
53	985	17259
54	1004	17262
55	1023	17249
56	1040	17221
57	1059	17199
58	1075	17155
59	1092	17110
